agent_no,start_date,agent_state_code,duration
39555332,07/04/2024,3,28
39555332,07/04/2024,51,888
39555332,07/04/2024,54,60
39555332,07/04/2024,78,235
39555332,07/04/2024,154,10010
39555333,07/04/2024,0,1234
39555333,07/04/2024,1,2765
39555333,07/04/2024,3,0
39555333,07/04/2024,54,45
39555333,07/04/2024,55,1866
39555333,07/04/2024,56,190
39555333,07/04/2024,78,1164
39555333,07/04/2024,154,7156
39555338,07/04/2024,-4,0
39555338,07/04/2024,0,1197
39555338,07/04/2024,1,2363
39555338,07/04/2024,2,61
39555338,07/04/2024,3,0
39555338,07/04/2024,54,167
39555338,07/04/2024,55,1824
39555338,07/04/2024,56,5
39555338,07/04/2024,78,354
39555338,07/04/2024,154,8469
39555341,07/04/2024,-4,0
39555341,07/04/2024,0,1567
39555341,07/04/2024,1,3607
39555341,07/04/2024,2,142
39555341,07/04/2024,3,0
39555341,07/04/2024,54,7
39555341,07/04/2024,55,1662
39555341,07/04/2024,56,33
39555341,07/04/2024,78,498
39555341,07/04/2024,154,6902
39555342,07/04/2024,-4,0
39555342,07/04/2024,0,3551
39555342,07/04/2024,1,5503
39555342,07/04/2024,2,181
39555342,07/04/2024,3,19
39555342,07/04/2024,51,1901
39555342,07/04/2024,54,117
39555342,07/04/2024,56,136
39555342,07/04/2024,154,3492
39555344,07/04/2024,-4,0
39555344,07/04/2024,0,2499
39555344,07/04/2024,1,1554
39555344,07/04/2024,2,120
39555344,07/04/2024,3,0
39555344,07/04/2024,54,17
39555344,07/04/2024,55,1539
39555344,07/04/2024,56,10
39555344,07/04/2024,78,361
39555344,07/04/2024,154,8340
39555347,07/04/2024,0,2265
39555347,07/04/2024,1,1567
39555347,07/04/2024,3,15
39555347,07/04/2024,54,7
39555347,07/04/2024,55,1545
39555347,07/04/2024,56,10
39555347,07/04/2024,78,285
39555347,07/04/2024,154,8469
39555354,07/04/2024,-4,0
39555354,07/04/2024,0,1523
39555354,07/04/2024,1,2097
39555354,07/04/2024,2,466
39555354,07/04/2024,3,21
39555354,07/04/2024,54,38
39555354,07/04/2024,56,24
39555356,07/04/2024,-4,0
39555356,07/04/2024,0,1748
39555356,07/04/2024,1,1591
39555356,07/04/2024,2,240
39555356,07/04/2024,3,20
39555356,07/04/2024,54,59
39555356,07/04/2024,56,4
39555357,07/04/2024,-4,0
39555357,07/04/2024,0,1996
